"","Respond.ID","sr","trMiddle","trlast8","trfirst8","condition","difference","disMiddle","percentage","Duration..in.seconds.","condition.1","concern","frequency","sources","list","subjective","encounter","exhaustion","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","partisanship.","X.Partisanship2","age","gender","gender2","Warwick_ResponseID","tr80"
"69","R_a2HRXkJH8GshCut",2.09090909090909,0.5515625,0.685,0.5575,"all true",0.1275,0.8203125,84.375,782,"all true",4,4,1,"bbc news",30,16,4,4,2,2,2,1,2,2,2,2,2,2,"Democrat","",18,"Female",NA,"2aa5d2545cf9d81de2e3",0.5655
"70","R_bBAnQp0tda5oeK5",2.36363636363636,0.329375,0.5775,0.4475,"more fake ",0.13,0.65625,65,1026,"more fake ",4,2,2,"BBC News, The Guardian",60,81,5,2,2,4,1,1,2,2,4,2,2,4,"Democrat","",24,"Female",NA,"95e79a89798ef2db2838",0.366
"71","R_D0ufEMeV8LA3IRz",3,0.5990625,0.525,0.34,"all true",0.185,0.609375,60,1620,"all true",2,2,1,"online news app",22,44,5,3,3,3,1,2,2,3,4,3,4,5,"Other","no political position",18,"Female",NA,"4d81cb184bd1e5d12686",0.56575
"72","R_ODpcy6YAdPzqsfv",3.90909090909091,0.694375,0.705,0.61,"all true",0.095,0.5,46.25,864,"all true",3,3,0,"I don't read the news ",8,50,5,5,5,5,1,5,1,1,5,5,5,5,"Democrat","",18,"Female",NA,"d38f323bb9e963c3eacd",0.687
"73","R_R2H3XxMPRUcBDuV",2.09090909090909,0.5921875,0.65,0.525,"all true",0.125,0.640625,60,3752,"all true",3,2,2,"News, Social Media",25,40,3,4,1,4,1,1,1,1,4,2,2,2,"Independent","",18,"Female",NA,"9bd1de09c255b869be36",0.59125
"74","R_RxaRCuurTKBByhz",3.54545454545455,0.391875,0.615,0.4675,"more fake ",0.1475,0.640625,70,1147,"more fake ",3,5,3,"BBC news, Daily wire, associated press",86,34,2,5,5,4,1,2,4,5,5,2,5,1,"Democrat","",19,"Male",NA,"5b74f02c7e48c547810b",0.42175
"75","R_tQZaEN1rW69mGrv",2.63636363636364,0.3340625,0.5875,0.4075,"all true",0.18,0.734375,72.5,1043,"all true",2,2,1,"BBC",40,50,3,2,1,4,1,2,1,1,5,4,4,4,"Democrat","",18,"Male",NA,"35fcf6446282269be5d6",0.36675
"76","R_vw6r1tujOBikqBP",2.09090909090909,0.363421474359375,0.37,0.312371794875,"all true",0.057628205125,0.78125,80,938,"all true",4,4,3,"__uardian _, __aily mail _, __K01_",22,40,3,4,2,4,1,1,1,1,3,2,2,2,"Other","",18,"Male",NA,"21d09c256101297b0ea7",0.358974358975
"77","R_wMhPbq0CXBHoBnX",2,0.59909722221875,0.66,0.6825,"more fake ",-0.0225,0.6015625,58.125,989,"more fake ",2,4,2,"""Siyah _erit"" ""Haber""",72,82,5,4,1,5,1,1,1,3,3,1,1,1,"Democrat","",18,"Female",NA,"c6dc6cac1280a2dae656",0.613527777775
"78","R_xtEUO3bR6x73kRj",2.81818181818182,0.511336683015625,0.6175,0.646428571375,"more fake ",-0.0289285713749999,0.75,73.75,802,"more fake ",2,1,2,"""news articles"",""social media pages""",66,75,4,1,3,4,1,2,2,2,5,4,3,4,"Other","None",18,"Female",NA,"f5ce48f1ad659d94a8c1",0.53546220355
"79","R_ZLjU24hs310zRcJ",3.27272727272727,0.554422468359375,0.7575,0.6375,"all true",0.12,0.59375,61.25,685,"all true",3,2,1,"New york times",28,52,4,4,4,4,1,2,3,4,3,3,4,4,"Democrat","",18,"Female",NA,"1c865a31e1e5c0a2eeff",0.5830379746875
